paid_by,amount,description,participants
Aarav,1250,Weekend trip accommodation,"Aarav,Vihaan,Aditya,Ishaan,Arjun"
Vihaan,800,Team dinner at resort,"Vihaan,Aarav,Aditya,Ishaan,Arjun,Sai"
Aditya,450,Petrol for road trip,"Aditya,Aarav,Vihaan,Arjun"
Ishaan,1200,Grocery shopping,"Ishaan,Krish,Aarav,Aditya,Vihaan,Sai,Arjun,Reyansh"
Arjun,600,Toll and parking fees,"Arjun,Aarav,Vihaan,Aditya,Ishaan"
Sai,950,Boat ride tickets,"Sai,Aarav,Vihaan,Aditya"
Krish,550,Breakfast buffet,"Krish,Ishaan,Reyansh,Sai"
Reyansh,780,Adventure sports,"Reyansh,Arjun,Aarav,Vihaan"
Aarav,320,Snacks and water,"Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Krish,Reyansh,Dev,Nivaan"
Vihaan,1500,Hotel room upgrade,"Vihaan,Aarav,Aditya,Ishaan"
Dev,420,Taxi to airport,"Dev,Aarav,Vihaan,Aditya,Ishaan,Arjun"
Nivaan,680,Dinner at fancy restaurant,"Nivaan,Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Krish"
Aditya,900,Scuba diving,"Aditya,Ishaan,Arjun,Sai"
Ishaan,340,Poolside drinks,"Ishaan,Aarav,Vihaan,Aditya,Krish,Reyansh"
Arjun,1100,Gift shopping,"Arjun,Aarav,Vihaan,Aditya,Ishaan,Sai,Dev,Nivaan"
Sai,250,Late night snacks,"Sai,Vihaan,Aditya,Krish"
Krish,580,Spa session,"Krish,Ishaan,Reyansh,Nivaan"
Reyansh,920,Photography package,"Reyansh,Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai"
Aarav,410,Museum tickets,"Aarav,Aditya,Ishaan,Dev,Nivaan"
Vihaan,1350,Surfing lessons,"Vihaan,Aarav,Arjun,Sai,Krish"
Dev,290,Local transport,"Dev,Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Krish,Reyansh,Nivaan"
Nivaan,750,Wine tasting,"Nivaan,Aarav,Vihaan,Aditya,Ishaan,Reyansh"
Aditya,560,Sunset cruise,"Aditya,Aarav,Vihaan,Ishaan,Arjun"
Ishaan,880,Beach umbrella rental,"Ishaan,Vihaan,Aditya,Sai,Krish,Reyansh,Dev"
Arjun,670,Jet ski rental,"Arjun,Aarav,Vihaan,Aditya,Nivaan"
Sai,430,Breakfast delivery,"Sai,Aarav,Aditya,Krish"
Krish,1020,Private dinner setup,"Krish,Ishaan,Reyansh,Nivaan,Dev"
Reyansh,380,Coffee and pastries,"Reyansh,Aarav,Vihaan,Aditya,Ishaan,Arjun,Sai,Krish,Nivaan"
Aarav,1450,Helicopter tour,"Aarav,Vihaan,Aditya"
Vihaan,520,Farewell party,"Vihaan,Aarav,Aditya,Ishaan,Arjun,Sai,Krish,Reyansh,Dev,Nivaan"
